시군구코드,접수년도,처리구분,접수번호,물건번호,상세물건번호,변경구분,공개반영일,읍면동코드,시군구명,읍면동리명,용도지역코드,용도지역명,건물구분,계약일,전용면적,대지권면적,층수,지분거래구분,거래금액,건축년도,건물주용도코드,건물주용도명,해제여부,해제사유,해제사유발생일,중개구분,중개업소주소,매도자거래주체정보,매수자거래주체정보,신고번호,물건번호
41173,2024,4,1856,1,1,C,20240417072851,4117310300,경기도안양시동안구,평촌동,UQA123,제3종일반주거,집합,20240408,8.28,,,,5500,1993,03999,제1종근린생활,2,추가입력완료,,중개거래,,개인,법인,99518177,1
41173,2024,4,1855,1,1,C,20240417072851,4117310300,경기도안양시동안구,평촌동,UQA123,제3종일반주거,집합,20240408,11.74,,,,7000,1993,03999,제1종근린생활,2,추가입력완료,,중개거래,,개인,법인,99445184,1
41135,2024,4,1774,1,1,,,4113510700,경기도 성남시분당구,야탑동,UQA210,중심상업,집합,20240227,10,,,전체거래,8000,2003,07999,판매,2,추가입력완료,,직거래,,개인,법인,86447455,1
41135,2024,4,1765,1,1,,,4113510700,경기도 성남시분당구,야탑동,UQA210,중심상업,집합,20240227,9.72,,,전체거래,8000,2003,07999,판매,2,추가입력완료,,직거래,,개인,법인,86447449,1
41135,2024,4,1760,1,1,,,4113510700,경기도 성남시분당구,야탑동,UQA210,중심상업,집합,20240227,9.36,,,전체거래,8000,2003,07999,판매,2,추가입력완료,,직거래,,개인,법인,86415451,1
41135,2024,4,1754,1,1,,,4113510700,경기도 성남시분당구,야탑동,UQA210,중심상업,집합,20240227,10.03,,,전체거래,8000,2003,07999,판매,2,추가입력완료,,직거래,,개인,법인,86411452,1
41135,2024,4,1750,1,1,,,4113510700,경기도 성남시분당구,야탑동,UQA210,중심상업,집합,20240227,9.75,,,전체거래,8000,2003,07999,판매,2,추가입력완료,,직거래,,개인,법인,86408452,1
41135,2024,4,1762,1,1,,,4113510700,경기도 성남시분당구,야탑동,UQA210,중심상업,집합,20240227,10,,,전체거래,8000,2003,07999,판매,2,추가입력완료,,직거래,,개인,법인,86390462,1
41390,2024,4,2900,1,1,,,4139013200,경기도 시흥시,정왕동,UQA121,제1종일반주거,집합,20240326,36.97,,1,전체거래,20000,2002,04001,제2종근린생활,2,추가입력완료,,중개거래,경기 시흥시,개인,개인,86390453,1
41135,2024,4,1735,1,1,,,4113510700,경기도 성남시분당구,야탑동,UQA210,중심상업,집합,20240227,10.03,,,전체거래,8000,2003,07999,판매,2,추가입력완료,,직거래,,개인,법인,86389452,1
41360,2024,4,5959,1,1,U,20240621040307,4136025021,경기도남양주시,와부읍 덕소리,UQA121,제1종일반주거,일반,20240617,132.51,46,,,25000,1986,03999,제1종근린생활,2,추가입력완료,,직거래,,개인,개인,133036445,1
41135,2024,4,3997,1,1,C,20240614040325,4113511400,경기도성남시분당구,구미동,UQA220,일반상업,집합,20240530,391.48,,4,,172000,2004,14299,업무,2,추가입력완료,,중개거래,,개인,개인,132033345,1
41135,2024,4,3999,1,1,C,20240614040325,4113510900,경기도성남시분당구,삼평동,UQA130,준주거,집합,20240530,229.04,,10,,300000,2011,14204,업무,2,추가입력완료,,중개거래,,법인,법인,132008355,1
41281,2024,4,4137,1,1,U,20240621040307,4128112300,경기도고양시덕양구,화정동,UQA230,근린상업,집합,20240611,39.2,,5,,11300,2002,14299,업무,2,추가입력완료,,중개거래,,개인,개인,132476418,1
